filepath,filename,width,height,class,xmin,ymin,xmax,ymax
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,vehicle fallback,838,476,868,442
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,car,828,491,866,453
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,motorcycle,761,537,809,489
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,rider,780,510,809,461
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,person,878,484,889,453
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,person,873,491,888,455
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,motorcycle,909,495,931,465
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,rider,910,488,932,454
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/0005220.jpg,0005220.jpg,1920,1080,car,1435,539,1601,472
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000048_r.jpg,0000480.jpg,1920,1080,motorcycle,1018,536,1028,498
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000048_r.jpg,0000480.jpg,1920,1080,person,1058,645,1093,525
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000048_r.jpg,0000480.jpg,1920,1080,person,1110,641,1180,529
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000048_r.jpg,0000480.jpg,1920,1080,car,1101,610,1195,518
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,person,641,718,733,511
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,motorcycle,894,552,926,503
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,autorickshaw,906,535,952,479
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,car,948,524,1005,474
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,truck,999,515,1036,466
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,motorcycle,1074,555,1096,498
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,car,1095,575,1196,484
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,motorcycle,1427,624,1515,528
JPEGImages/frontNear/BLR-2018-05-17_16-32-30_frontNear/000450_r.jpg,0004500.jpg,1920,1080,autorickshaw,1502,818,1916,459
JPEGImages/frontNear/BLR-2018-05-17_16-39-05_frontNear/0006780.jpg,0006780.jpg,1920,1080,car,992,445,1069,412
